gene	avg_logFC	p_val	p_adj_FDR	pct.1	pct.2	pct.2_mean	pct_ratio	pct_ratio_mean	comparison	comparison_logFC	comparison_FDR	comparison_pct.2
SRGAP3-AS2	0.884636238059088	1.47443479513676e-28	8.16918207042984e-28	0.707	0.059	0.0168571428571429	0.0834512022630834	0.0238432006465953	c8	c5	c6	c5
EFHB	0.801523367171895	6.18380001578327e-28	3.31564433894704e-27	0.706	0.059	0.0222857142857143	0.0835694050991501	0.0315661675435047	c8	c5	c6	c5
RP11-101E5.1	0.932836964694348	6.52835706455685e-28	3.4904454532659e-27	0.717	0.049	0.0154285714285714	0.0683403068340307	0.0215182307232516	c8	c6	c6	c5
FBXO15	0.761509468590358	4.38222952968967e-27	2.16466036085983e-26	0.687	0.067	0.0282857142857143	0.0975254730713246	0.0411728009981285	c8	c5	c6	c5
KLHL6	0.779634361350772	3.10428202385213e-26	1.49037213492084e-25	0.668	0.038	0.0158571428571429	0.0568862275449102	0.0237382378100941	c8	c5	c6	c5
RP1	0.871417623638659	6.13140763974014e-26	2.85626464801756e-25	0.677	0.052	0.0154285714285714	0.0768094534711964	0.0227896180628825	c8	c5	c6	c5
FABP6	1.28445605658444	8.30128392876874e-26	3.83857895674269e-25	0.701	0.063	0.0397142857142857	0.0898716119828816	0.056653759934787	c8	c6	c6	c5
DNAJB13	0.739483271603384	1.0121658557065e-25	4.66886308931283e-25	0.664	0.059	0.0227142857142857	0.088855421686747	0.0342082616179002	c8	c5	c6	c5
C1orf87	0.748502121188189	1.10341509484325e-24	4.70890523468254e-24	0.674	0.035	0.0128571428571429	0.0519287833827893	0.0190758796100042	c8	c6	c6	c5
LINC01513	0.651476884399157	4.96379964685775e-24	2.04865590688296e-23	0.629	0.056	0.0131428571428571	0.0890302066772655	0.0208948444242562	c8	c5	c6	c5
RGS22	0.768569567526652	1.29508251414947e-23	5.23035470306719e-23	0.643	0.054	0.0142857142857143	0.0839813374805599	0.0222172850477672	c8	c5	c6	c5
VWA3A	0.691583905938716	2.10803715750508e-23	8.45911712244043e-23	0.633	0.056	0.0197142857142857	0.0884676145339652	0.031144211238998	c8	c5	c6	c5
TTC29	0.715302826424511	2.46654171487561e-23	9.83481251566928e-23	0.651	0.038	0.0141428571428571	0.0583717357910906	0.021724818959842	c8	c6	c6	c5
RP11-1008C21.1	0.666610753102628	1.58757547787125e-22	5.95182679154122e-22	0.616	0.037	0.0241428571428571	0.0600649350649351	0.0391929499072356	c8	c5	c6	c5
DCDC1	0.637931541507523	4.46100108135602e-22	1.623907937159e-21	0.609	0.057	0.0124285714285714	0.0935960591133005	0.0204081632653061	c8	c5	c6	c5
C2orf73	0.684236967729955	1.19107092645098e-21	4.18989810015092e-21	0.628	0.062	0.0187142857142857	0.0987261146496815	0.0297998180163785	c8	c5	c6	c5
GRIN3B	0.681163777491892	1.62804859010902e-21	5.68457782297807e-21	0.601	0.049	0.0175714285714286	0.0815307820299501	0.0292369859757547	c8	c5	c6	c5
CFAP77	0.70062145917083	1.73395179810518e-21	6.03197279858402e-21	0.622	0.051	0.0184285714285714	0.0819935691318328	0.0296279283417547	c8	c5	c6	c5
RP11-347J14.7	0.713803062836207	1.76899961693992e-21	6.14254110531537e-21	0.618	0.048	0.0141428571428571	0.0776699029126214	0.0228848821081831	c8	c6	c6	c5
NHLRC4	0.645382782034844	1.86241334602168e-21	6.45499432267552e-21	0.62	0.049	0.0204285714285714	0.0790322580645161	0.0329493087557604	c8	c5	c6	c5
VIM-AS1	0.651753992237963	1.50031220005676e-20	4.85987531928886e-20	0.591	0.051	0.0387142857142857	0.0862944162436548	0.0655064056079285	c8	c3	c6	c5
SPATA4	0.58789914628603	2.26167026447375e-20	7.23888339751633e-20	0.576	0.046	0.0117142857142857	0.0798611111111111	0.0203373015873016	c8	c5	c6	c5
AGBL2	0.618611660955353	3.33011281362254e-20	1.0533230781912e-19	0.605	0.054	0.0258571428571429	0.0892561983471074	0.0427390791027155	c8	c6	c6	c5
CACNG6	0.652413478797181	1.37981618074243e-19	4.18840976154395e-19	0.557	0.022	0.00914285714285714	0.0394973070017953	0.0164144652474994	c8	c5	c6	c5
SRD5A2	0.608333532791982	2.11778750394409e-19	6.34661796564138e-19	0.566	0.021	0.00914285714285714	0.0371024734982332	0.0161534578495709	c8	c5	c6	c5
WI2-1959D15.1	0.619626313423767	3.11161080867668e-19	9.15008053426488e-19	0.588	0.046	0.023	0.0782312925170068	0.0391156462585034	c8	c6	c6	c6
CCDC33	0.577351135452508	4.58585662366772e-19	1.32982776051504e-18	0.558	0.043	0.0151428571428571	0.0770609318996416	0.0271377368151562	c8	c5	c6	c5
MEIG1	0.517597362851228	7.26248541869629e-19	2.08036492511209e-18	0.551	0.054	0.0222857142857143	0.0980036297640653	0.0404459424423127	c8	c5	c6	c5
TEX26	0.957772898992957	8.23938701157508e-19	2.35661494768758e-18	0.567	0.038	0.0155714285714286	0.0670194003527337	0.0274628369866465	c8	c6	c6	c5
KIAA2012	0.594471754748839	8.41601066474301e-19	2.40347982868685e-18	0.557	0.023	0.00871428571428571	0.0412926391382406	0.0156450371890228	c8	c6	c6	c6
RP11-680N20.1	0.697241146488963	9.50056660260419e-19	2.69278107622004e-18	0.527	0.029	0.00685714285714286	0.0550284629981025	0.0130116562754134	c8	c5	c6	c5
ERICH6-AS1	0.490311318371645	9.50056660260419e-19	2.69278107622004e-18	0.528	0.049	0.0271428571428571	0.0928030303030303	0.0514069264069264	c8	c3	c6	c5
WDR93	0.493478343447647	1.06904543894717e-17	2.80214974386988e-17	0.515	0.033	0.0132857142857143	0.0640776699029126	0.0257975034674064	c8	c5	c6	c5
TMEM212	0.519343034958801	1.25680960595706e-17	3.27152929240827e-17	0.516	0.035	0.00971428571428572	0.0678294573643411	0.0188261351052049	c8	c5	c6	c5
CCDC81	0.694105767764292	1.60800099163995e-17	4.1512453583901e-17	0.533	0.023	0.0147142857142857	0.0431519699812383	0.0276065398016618	c8	c6	c6	c6
RP11-122M14.1	0.519320802042735	2.12468185717177e-17	5.44034184380581e-17	0.523	0.038	0.0121428571428571	0.0726577437858509	0.0232177000819448	c8	c5	c6	c5
ECT2L	0.529212355630694	3.78594467872772e-17	9.47493069862443e-17	0.51	0.04	0.0111428571428571	0.0784313725490196	0.0218487394957983	c8	c5	c6	c5
KNDC1	0.529957076700485	6.8242640184256e-17	1.66795647826974e-16	0.523	0.037	0.0158571428571429	0.0707456978967495	0.0303195848128927	c8	c5	c6	c5
BEST4	0.653888097705754	1.16519728477701e-16	2.80781215102475e-16	0.506	0.034	0.016	0.0671936758893281	0.0316205533596838	c8	c5	c6	c6
TIMP4	0.412178994493824	3.53118949723522e-14	7.09252789092495e-14	0.432	0.028	0.0144285714285714	0.0648148148148148	0.0333994708994709	c8	c3	c6	c1
CFAP58	0.42843966630907	4.46301945570131e-14	8.85079306178068e-14	0.435	0.021	0.00842857142857143	0.0482758620689655	0.019376026272578	c8	c5	c6	c5
LINC00326	0.544953823368249	7.07138323188217e-14	1.38917987916516e-13	0.475	0.046	0.0228571428571429	0.0968421052631579	0.0481203007518797	c8	c6	c6	c6
AC009502.4	0.443662695817233	9.71382990784777e-14	1.89053028816644e-13	0.414	0.019	0.00771428571428571	0.0458937198067633	0.0186335403726708	c8	c5	c6	c5
RP11-395E19.6	0.476900454034879	1.21166288853718e-13	2.33642372564238e-13	0.44	0.021	0.00771428571428571	0.0477272727272727	0.0175324675324675	c8	c6	c6	c5
RP11-193M21.1	0.426347471170794	3.50160394409599e-13	6.52477091365213e-13	0.443	0.032	0.00914285714285714	0.072234762979684	0.0206385037084811	c8	c5	c6	c5
PZP	0.410383615397606	5.61256642072847e-13	1.03455925600499e-12	0.408	0.032	0.00885714285714286	0.0784313725490196	0.0217086834733894	c8	c5	c6	c5
CASC2	0.389200993865029	1.33533326409736e-12	2.38887566828063e-12	0.434	0.034	0.0198571428571429	0.0783410138248848	0.0457537853851218	c8	c6	c6	c6
C22orf23	0.429172153024394	1.41919160496589e-12	2.53648490080323e-12	0.416	0.033	0.0112857142857143	0.0793269230769231	0.0271291208791209	c8	c5	c6	c5
CFAP61	0.377900977260088	1.5167467823666e-12	2.70314151933139e-12	0.402	0.027	0.00914285714285714	0.0671641791044776	0.0227434257285004	c8	c5	c6	c5
LRRC18	0.350785366847786	2.76516825787228e-12	4.80521390703198e-12	0.389	0.03	0.00714285714285714	0.077120822622108	0.0183621006243114	c8	c5	c6	c5
AC195454.1	0.362788952035326	3.77729004893884e-12	6.5338785589181e-12	0.37	0.021	0.00628571428571429	0.0567567567567568	0.016988416988417	c8	c5	c6	c5
TTC16	0.371994534852568	7.02357889868654e-12	1.18870283159425e-11	0.373	0.033	0.00757142857142857	0.0884718498659517	0.0202987361164305	c8	c5	c6	c5
PROS1	0.480206441920523	1.18444914193561e-11	1.97094012831372e-11	0.405	0.037	0.024	0.091358024691358	0.0592592592592593	c8	c3	c6	c2
ANKFN1	0.38372170369014	3.15175734876076e-11	5.08278263099208e-11	0.393	0.023	0.009	0.0585241730279898	0.0229007633587786	c8	c6	c6	c6
KIF6	0.34269391063398	4.0135410129934e-11	6.45045617972124e-11	0.385	0.038	0.0122857142857143	0.0987012987012987	0.0319109461966605	c8	c5	c6	c5
LRRC43	0.34960399359512	4.69452045146743e-11	7.50131169919754e-11	0.369	0.027	0.0101428571428571	0.0731707317073171	0.0274874177313202	c8	c5	c6	c5
TCTE1	0.305580408187791	2.30006673622172e-10	3.44643757768254e-10	0.353	0.029	0.008	0.0821529745042493	0.0226628895184136	c8	c5	c6	c5
ALS2CR12	0.321304619205325	3.31358172817847e-10	4.89110651955442e-10	0.335	0.008	0.00371428571428571	0.0238805970149254	0.0110874200426439	c8	c2	c6	c5
RP11-403A21.1	0.312614968033161	7.73178757930194e-10	1.11589142823974e-09	0.32	0.017	0.00471428571428571	0.053125	0.0147321428571429	c8	c5	c6	c5
C10orf67	0.318342308357147	1.24623943037382e-09	1.78088276990397e-09	0.34	0.023	0.00657142857142857	0.0676470588235294	0.019327731092437	c8	c6	c6	c6
NME9	0.303403771126199	1.57047154702424e-09	2.234034354875e-09	0.323	0.019	0.00571428571428571	0.0588235294117647	0.0176912870411322	c8	c5	c6	c5
PLCH1	0.293961172488541	2.08497421081656e-09	2.93899938230927e-09	0.342	0.032	0.0181428571428571	0.0935672514619883	0.0530492898913951	c8	c5	c6	c5
RP5-978I12.1	0.326915761469759	3.33372999341418e-09	4.63716174989318e-09	0.319	0.011	0.00428571428571429	0.0344827586206897	0.0134348410210479	c8	c5	c6	c6
GRM7	0.311877519274433	4.95662211144077e-09	6.80902395162885e-09	0.318	0.019	0.00642857142857143	0.059748427672956	0.0202156334231806	c8	c6	c6	c5
SEC14L4	0.330221865333972	5.26782792416315e-09	7.19974738799931e-09	0.31	0.025	0.00542857142857143	0.0806451612903226	0.0175115207373272	c8	c5	c6	c5
C8orf34	0.300022397025352	9.40181790901177e-09	1.26206999320686e-08	0.327	0.023	0.00757142857142857	0.0703363914373089	0.0231542158147663	c8	c6	c6	c6
ADH6	0.277786982514361	9.81247355573736e-09	1.31251423112279e-08	0.292	0.019	0.00514285714285714	0.0650684931506849	0.0176125244618395	c8	c3	c6	c3
C1orf101	0.320895559190922	1.33111377419867e-08	1.75800429687151e-08	0.296	0.024	0.0134285714285714	0.0810810810810811	0.0453667953667954	c8	c3	c6	c5
MRVI1-AS1	0.292853959561896	1.79381950468321e-08	2.34768310696371e-08	0.343	0.034	0.0121428571428571	0.0991253644314869	0.0354019158683882	c8	c6	c6	c6
HHLA2	0.258038829547981	2.56341607750136e-08	3.32713728128108e-08	0.281	0.013	0.00471428571428571	0.0462633451957295	0.0167768174885613	c8	c5	c6	c5
C16orf54	0.293303112353058	3.63456454983062e-08	4.68510307039809e-08	0.285	0.025	0.008	0.087719298245614	0.0280701754385965	c8	c5	c6	c5
STARD9	0.262329626222125	3.65551542656922e-08	4.70888434825685e-08	0.286	0.017	0.00971428571428571	0.0594405594405594	0.033966033966034	c8	c5	c6	c5
C1orf141	0.279928655349821	4.67249919689124e-08	5.98614260622826e-08	0.262	0.019	0.00385714285714286	0.0725190839694656	0.014721919302072	c8	c5	c6	c5
GSTA3	0.353974401720484	4.93221561956891e-08	6.31028538139272e-08	0.277	0.011	0.00628571428571429	0.0397111913357401	0.0226921093347086	c8	c5	c6	c5
RP11-424M24.5	0.256617210085385	7.01258994205181e-08	8.92001895674215e-08	0.271	0.024	0.007	0.0885608856088561	0.025830258302583	c8	c5	c6	c5
LRRC36	0.262765044875557	1.29611439489435e-07	1.62186654999413e-07	0.27	0.023	0.0105714285714286	0.0851851851851852	0.0391534391534392	c8	c7	c6	c7
MYCT1	0.266628138521958	4.41228289189499e-07	5.35391128468496e-07	0.281	0.023	0.00428571428571429	0.0818505338078292	0.0152516522623284	c8	c6	c6	c6
SLPI	1.25520154209104	2.09636554364144e-44	4.87081475695456e-43	1	1	0.999428571428571	1	0.999428571428571	c7	c5	c6	c4
RARRES1	1.61039639384022	3.01579542393077e-44	6.83822528655145e-43	0.996	0.81	0.485	0.813253012048193	0.486947791164659	c7	c5	c6	c5
SCGB3A1	1.89385986047347	3.95249630888193e-44	8.75129182743035e-43	1	0.984	0.941	0.984	0.941	c7	c5	c6	c5
TCN1	0.967055196180183	1.45976051019226e-42	2.56754138334752e-41	0.977	0.698	0.179714285714286	0.714431934493347	0.18394502120193	c7	c5	c6	c5
MMP7	1.81835141021228	3.03300358910137e-33	2.35872427879702e-32	0.875	0.377	0.175428571428571	0.430857142857143	0.200489795918367	c7	c3	c6	c3
DMBT1	1.98442933642269	2.40163907532901e-30	1.51166713704655e-29	0.791	0.092	0.0367142857142857	0.116308470290771	0.0464150261874661	c7	c3	c6	c3
SERPINA3	1.19965357429571	1.36485882001926e-28	7.6221492560126e-28	0.768	0.13	0.0444285714285714	0.169270833333333	0.0578497023809524	c7	c3	c6	c3
CLU	0.805647755225154	1.53312082628711e-28	8.4613882553441e-28	0.996	0.991	0.848	0.994979919678715	0.85140562248996	c7	c3	c3	c3
FOLR1	0.600170186183	2.57674117667704e-28	1.40971712049598e-27	0.924	0.627	0.205428571428571	0.678571428571428	0.222325293753865	c7	c3	c3	c3
LRRC26	0.626923848676521	4.74650947979906e-26	2.21660814912701e-25	0.886	0.611	0.162714285714286	0.68961625282167	0.183650435343438	c7	c5	c6	c5
CFB	1.02420819156007	7.49726034825513e-26	3.48391209269535e-25	0.913	0.87	0.467857142857143	0.952902519167579	0.512439367861055	c7	c5	c5	c5
PI3	1.18394298756574	5.24942024127771e-25	2.29753695211271e-24	0.935	0.846	0.365571428571429	0.904812834224599	0.390985485103132	c7	c5	c5	c5
LTF	3.28394812034652	8.65330220179923e-25	3.7096844518875e-24	0.749	0.219	0.148428571428571	0.292389853137517	0.198168987221057	c7	c3	c6	c5
ZG16B	0.588789654785995	3.31196651321263e-21	1.13329472324839e-20	0.985	0.965	0.596714285714286	0.979695431472081	0.605801305293691	c7	c5	c5	c5
CCL28	0.659961846175019	4.88512730138197e-21	1.64763612566324e-20	0.665	0.412	0.122571428571429	0.619548872180451	0.184317937701396	c7	c8	c6	c8
PIP	0.48017540295842	7.80393620994674e-20	2.41960592209551e-19	0.81	0.532	0.120571428571429	0.65679012345679	0.148853615520282	c7	c8	c8	c8
MIA	0.522507924746057	3.51367396298708e-17	8.84055400847819e-17	0.901	0.764	0.272142857142857	0.847946725860155	0.302045346440463	c7	c3	c3	c3
TF	0.653413620066062	3.75437621729053e-17	9.40843680551369e-17	0.551	0.086	0.0521428571428571	0.156079854809437	0.0946331345605393	c7	c3	c6	c3
WFDC2	0.293093304301378	1.72140438215147e-16	4.09568021138945e-16	1	1	0.996142857142857	1	0.996142857142857	c7	c5	c5	c5
KRT6B	0.453339354387638	4.83169662807632e-15	1.04280424931647e-14	0.529	0.292	0.121428571428571	0.551984877126654	0.229543613286524	c7	c1	c1	c1
STATH	2.79533120202862	2.50145351161138e-14	5.08944379335418e-14	0.49	0.137	0.0544285714285714	0.279591836734694	0.111078717201166	c7	c5	c6	c5
GLYATL2	0.265816662489256	1.83080338356958e-13	3.46986099484185e-13	0.567	0.273	0.0734285714285714	0.481481481481482	0.129503653313177	c7	c5	c6	c5
NDRG2	0.332795453734735	3.84423848751112e-13	7.14906801728846e-13	0.909	0.733	0.571714285714286	0.806380638063806	0.628948609146629	c7	c3	c3	c5
LYZ	0.441579546825512	1.05060008348322e-12	1.9085225454782e-12	0.631	0.822	0.235142857142857	1.3026941362916	0.372651120670138	c7	c5	c6	c5
ANPEP	0.364579049692582	1.30013328520236e-12	2.33255561749365e-12	0.441	0.057	0.0148571428571429	0.129251700680272	0.0336896663427276	c7	c5	c6	c5
PPP1R1B	0.42081780339987	1.9501263868029e-12	3.42044534945299e-12	0.46	0.071	0.0355714285714286	0.154347826086956	0.0773291925465839	c7	c2	c6	c2
NOXO1	0.318061135376391	4.32376551837225e-12	7.44494666566933e-12	0.479	0.176	0.0735714285714286	0.367432150313152	0.15359379660006	c7	c5	c6	c5
ALDH1A3	0.443326007983896	8.57214376782311e-11	1.32780037621754e-10	0.7	0.535	0.311857142857143	0.764285714285714	0.445510204081633	c7	c4	c4	c5
DNAJC17	0.282582818952791	2.04744354090142e-10	3.08509907444073e-10	0.673	0.47	0.268857142857143	0.698365527488856	0.3994905540225	c7	c5	c6	c5
ST3GAL4	0.39780782162124	2.57339037478918e-10	3.82552976726164e-10	0.692	0.37	0.182857142857143	0.534682080924855	0.264244426094137	c7	c6	c6	c5
CD14	0.506824763383246	3.00315841620129e-10	4.43986185333137e-10	0.411	0.114	0.061	0.277372262773723	0.148418491484185	c7	c1	c6	c1
INSR	0.273660082533914	1.80488797688033e-09	2.55206549398105e-09	0.856	0.69	0.467714285714286	0.80607476635514	0.546395193591455	c7	c5	c6	c5
KRT7	0.587962032188909	3.79229007674305e-09	5.25558904597232e-09	1	0.973	0.756142857142857	0.973	0.756142857142857	c7	c6	c6	c5
HP	1.40101476027952	4.6239501400107e-08	5.9360669600956e-08	0.278	0.067	0.029	0.241007194244604	0.10431654676259	c7	c3	c6	c3
GMDS	0.259515420872457	5.73812535923415e-08	7.32642600141022e-08	0.882	0.8	0.503571428571429	0.90702947845805	0.570942662779397	c7	c5	c5	c5
CA2	0.262644960503289	1.28462386202903e-07	1.60855762364514e-07	0.262	0.057	0.0215714285714286	0.217557251908397	0.0823336968375136	c7	c1	c6	c1
RP11-817J15.2	0.294024199282593	1.65306595332402e-07	2.05486798160885e-07	0.259	0.017	0.00314285714285714	0.0656370656370656	0.012134583563155	c7	c3	c6	c3
IL6	0.430631416112651	2.72666457268573e-07	3.34087417043915e-07	0.251	0.079	0.0295714285714286	0.314741035856574	0.117814456459875	c7	c3	c6	c3
DUSP23	0.254766649906326	4.01309244100376e-07	4.88527812029048e-07	0.939	0.839	0.722714285714286	0.893503727369542	0.769663776053553	c7	c3	c3	c1
CHPT1	0.257763318742573	4.20726409438405e-07	5.11503296229378e-07	0.776	0.649	0.422	0.836340206185567	0.543814432989691	c7	c5	c6	c5
TNFAIP2	0.302614107184751	0.000189627309456981	0.000206049997920345	0.582	0.496	0.327428571428571	0.852233676975945	0.56259204712813	c7	c4	c6	c1
HSD11B2	0.327102216141779	0.000213110745332104	0.000231166814244968	0.342	0.155	0.083	0.453216374269006	0.242690058479532	c7	c6	c6	c1
RNASE1	0.251671352413333	0.00516748467866879	0.00541492548176763	0.608	0.565	0.162142857142857	0.929276315789474	0.266682330827068	c7	c5	c5	c5
FDCSP	0.611687563205429	0.0120702837056424	0.0125365750187743	0.11	0.039	0.0212857142857143	0.354545454545455	0.193506493506494	c7	c3	c6	c3
HEPACAM2	1.74047629895378	2.41873732688129e-64	4.55206364919059e-61	0.874	0.07	0.014	0.080091533180778	0.0160183066361556	c6	c5	c7	c5
PROX1	0.77948847755078	7.98758298018789e-40	1.0296322718297e-38	0.575	0.002	0.001	0.00347826086956522	0.00173913043478261	c6	c2	c7	c2
TUBB2B	1.20031190002065	3.84209052576877e-38	4.38231173908898e-37	0.598	0.053	0.0177142857142857	0.088628762541806	0.0296225513616818	c6	c3	c7	c3
NEURL1	0.700170736099132	1.87315128494788e-35	1.71964425281557e-34	0.54	0.038	0.0148571428571429	0.0703703703703704	0.0275132275132275	c6	c1	c7	c1
PHGR1	1.60708550976263	8.23753881325437e-34	6.79958247655471e-33	0.494	0.016	0.00485714285714286	0.0323886639676113	0.00983227299016773	c6	c5	c7	c5
KIT	0.978821192494009	2.34623611632461e-33	1.8553009961861e-32	0.552	0.041	0.0224285714285714	0.0742753623188406	0.0406314699792961	c6	c2	c7	c1
FOXI1	1.48937258363742	6.26219345307632e-33	4.73311167818861e-32	0.494	0.004	0.00228571428571429	0.00809716599190283	0.00462695199537305	c6	c8	c7	c8
RET	0.701527109093644	1.77277941183161e-30	1.13097317053121e-29	0.448	0.016	0.00457142857142857	0.0357142857142857	0.0102040816326531	c6	c8	c7	c8
ANK2	0.645481799725821	4.17621869492907e-30	2.58540907363701e-29	0.471	0.008	0.00242857142857143	0.0169851380042463	0.00515620260843191	c6	c7	c7	c7
SCG2	2.8508405635647	1.17611314117437e-29	7.00457256863978e-29	0.437	0.01	0.00528571428571429	0.022883295194508	0.0120954560313828	c6	c3	c7	c5
MIAT	1.42818836352048	5.01844438268917e-28	2.71399779546581e-27	0.414	0.009	0.00357142857142857	0.0217391304347826	0.00862663906142167	c6	c1	c7	c1
ASCL1	1.9996150855748	1.71813709939901e-25	7.75427822798306e-25	0.391	0.004	0.00257142857142857	0.010230179028133	0.00657654366094264	c6	c3	c7	c7
SCG5	1.54202573239891	1.71813709939901e-25	7.75427822798306e-25	0.391	0.009	0.004	0.0230179028132992	0.010230179028133	c6	c1	c7	c1
CHGA	1.95962794287325	8.08930175028606e-25	3.48376793913921e-24	0.368	0.004	0.00171428571428571	0.0108695652173913	0.0046583850931677	c6	c1	c7	c1
CHGB	1.57974997293535	8.08930175028606e-25	3.48376793913921e-24	0.368	0.015	0.00885714285714286	0.0407608695652174	0.0240683229813665	c6	c3	c7	c3
SUCNR1	0.764006367191803	4.99962393733359e-24	2.05443062228424e-23	0.356	0.002	0.000714285714285714	0.00561797752808989	0.00200642054574639	c6	c8	c7	c8
NEB	1.15348842374329	4.99962393733359e-24	2.05443062228424e-23	0.356	0.007	0.00314285714285714	0.0196629213483146	0.00882825040128411	c6	c2	c7	c2
RUNX1T1	0.536370652141067	1.58822024468946e-23	6.40049357709971e-23	0.368	0.046	0.0141428571428571	0.125	0.0384316770186335	c6	c3	c3	c3
ST18	0.472186333582323	3.05996024964614e-23	1.20984142643572e-22	0.345	0.002	0.000571428571428571	0.00579710144927536	0.00165631469979296	c6	c5	c7	c5
SYT1	1.43510023197538	5.17605679520714e-23	2.02102466568047e-22	0.368	0.008	0.00185714285714286	0.0217391304347826	0.00504658385093168	c6	c7	c7	c7
SCG3	1.27451118088458	5.17605679520714e-23	2.02102466568047e-22	0.368	0.048	0.00857142857142857	0.130434782608696	0.0232919254658385	c6	c8	c7	c8
SCGN	1.15861839755974	2.72135690356764e-22	1.01017627071288e-21	0.345	0.004	0.00128571428571429	0.0115942028985507	0.00372670807453416	c6	c7	c7	c7
HOXB5	1.01296763579268	3.48281957793731e-22	1.27771275744211e-21	0.356	0.008	0.00342857142857143	0.0224719101123596	0.00963081861958267	c6	c7	c7	c7
ZACN	0.986322665402643	7.36250169949559e-22	2.63426391605527e-21	0.345	0.056	0.011	0.16231884057971	0.0318840579710145	c6	c8	c8	c8
KIF1A	0.600676188263261	1.11349854490738e-21	3.92435254965487e-21	0.322	0.001	0.000285714285714286	0.0031055900621118	0.000887311446317658	c6	c4	c7	c4
DDC	0.774280658214926	1.11349854490738e-21	3.92435254965487e-21	0.322	0.002	0.000857142857142857	0.0062111801242236	0.00266193433895297	c6	c2	c7	c5
CLNK	0.741667939070799	1.11349854490738e-21	3.92435254965487e-21	0.322	0.02	0.00471428571428571	0.062111801242236	0.0146406388642413	c6	c8	c7	c8
GP2	1.91766233869379	1.11349854490738e-21	3.92435254965487e-21	0.322	0.006	0.00285714285714286	0.0186335403726708	0.00887311446317657	c6	c5	c7	c5
BEX1	0.893381854630884	1.62430718355285e-21	5.68205598410122e-21	0.333	0.012	0.00385714285714286	0.036036036036036	0.0115830115830116	c6	c3	c7	c3
SLC35F3	0.395806419630769	6.62169142901316e-21	2.20566783529252e-20	0.31	0.01	0.00242857142857143	0.032258064516129	0.00783410138248848	c6	c3	c7	c3
TPH1	1.28812936974158	6.62169142901316e-21	2.20566783529252e-20	0.31	0.013	0.00614285714285714	0.0419354838709677	0.019815668202765	c6	c2	c7	c1
ASCL3	1.71905596344603	9.83686612341788e-21	3.2308869187212e-20	0.322	0.006	0.00328571428571429	0.0186335403726708	0.0102040816326531	c6	c8	c7	c8
GRP	3.84071473030991	1.13810255368269e-20	3.71214732414355e-20	0.368	0.024	0.0171428571428571	0.0652173913043478	0.046583850931677	c6	c3	c7	c5
CACNA1A	0.799284360059441	1.66358349698235e-20	5.37026439334611e-20	0.356	0.015	0.00785714285714286	0.0421348314606742	0.0220706260032103	c6	c5	c7	c7
NOVA1	0.395249411937758	2.31437263643691e-20	7.3824564436852e-20	0.333	0.051	0.0167142857142857	0.153153153153153	0.0501930501930502	c6	c8	c8	c8
PDE1C	0.403221724263737	3.90093358357364e-20	1.22768511777351e-19	0.299	0.005	0.00185714285714286	0.0167224080267559	0.0062111801242236	c6	c3	c7	c3
BSND	0.860552602870962	2.27685382810903e-19	6.748092762994e-19	0.287	0.002	0.001	0.00696864111498258	0.00348432055749129	c6	c4	c7	c5
CA6	0.682772105298119	2.27685382810903e-19	6.748092762994e-19	0.287	0.001	0.000142857142857143	0.00348432055749129	0.000497760079641613	c6	c1	c7	c1
RCAN2	0.407657234450402	2.27685382810903e-19	6.748092762994e-19	0.287	0.014	0.00357142857142857	0.0487804878048781	0.0124440019910403	c6	c3	c7	c3
CPLX2	0.404282271227175	2.27685382810903e-19	6.748092762994e-19	0.287	0.001	0.000285714285714286	0.00348432055749129	0.000995520159283226	c6	c2	c7	c2
VGF	0.677030247820259	2.27685382810903e-19	6.748092762994e-19	0.287	0.018	0.00428571428571429	0.0627177700348432	0.0149328023892484	c6	c1	c7	c1
CADM2	0.408677348200848	2.27685382810903e-19	6.748092762994e-19	0.287	0.029	0.0107142857142857	0.101045296167247	0.037332005973121	c6	c2	c7	c2
TMEM176A	1.38614478791668	3.2340864804731e-19	9.49539899571042e-19	0.471	0.076	0.0362857142857143	0.16135881104034	0.0770397330906885	c6	c7	c7	c7
KCNH2	0.371151902523224	3.67600857343057e-19	1.07760874380005e-18	0.299	0.006	0.00357142857142857	0.020066889632107	0.0119445771619685	c6	c8	c7	c1
SLC29A4	0.616076495949066	5.15382665178833e-19	1.48993882621592e-18	0.333	0.015	0.00685714285714286	0.045045045045045	0.0205920205920206	c6	c7	c7	c7
SCN3A	0.560938623873505	1.31679400788785e-18	3.67686398048211e-18	0.276	0.005	0.00128571428571429	0.0181159420289855	0.0046583850931677	c6	c3	c7	c3
KCNH6	0.409738144502731	1.31679400788785e-18	3.67686398048211e-18	0.276	0.005	0.00128571428571429	0.0181159420289855	0.0046583850931677	c6	c8	c7	c8
PEX5L	0.337421492340346	1.31679400788785e-18	3.67686398048211e-18	0.276	0.001	0.000285714285714286	0.0036231884057971	0.0010351966873706	c6	c8	c7	c4
WSCD1	0.282345980884645	1.31679400788785e-18	3.67686398048211e-18	0.276	0.004	0.00171428571428571	0.0144927536231884	0.0062111801242236	c6	c5	c7	c1
SLC26A9	0.714693026578463	2.25148296207123e-18	6.17680894259191e-18	0.356	0.041	0.0201428571428571	0.115168539325843	0.0565810593900482	c6	c4	c7	c4
